Name, Preference, Vegetarian, Vegan, Gluten Free, Low Carb, Comments
Mimi's Bakehouse, 0.5, unknown, unknown, unknown, no, In Leith
Loudons, 1, yes, unknown, unknown, no, Breakfast options also available at lunch time
56 north, 1, unknown, unknown, unknown, no, -
OX184, 1, unknown, unknown, unknown, no, -
Kcal Kitchen, 0.5, yes, yes, yes, yes, In Leith
Urban Angel, 1, yes, yes, yes, yes, -
The City Cafe, 1, yes, yes, yes, unknown, -
Snax Cafe, 0.5, yes, no, unknown, unknown, -
The Little Bakery, 0.5, yes, unknown, unknown, unknown, Queensferry
Down The Hatch, 0.5, yes, no, no, no, Queensferry
