Name, Preference, Vegetarian, Vegan, Gluten Free, Low Carb, Comments
Mimi's Bakehouse, 0.5, unknown, unknown, unknown, no, In Leith - branch in Edinburgh
Loudons, 1, yes, unknown, unknown, no, Breakfast options also available at lunch time
Urban Angel, 1, yes, yes, yes, yes, -
The City Cafe, 1, yes, yes, yes, unknown, -
Snax Cafe, 0.5, yes, no, unknown, unknown, -
The Little Bakery, 0.5, yes, unknown, unknown, unknown, Queensferry
Down The Hatch, 0.5, yes, no, no, no, Queensferry
Kilimanjaro Cafe, 1, yes, unknown, unkown, unknown, -
The Edinburgh Larder, 1, yes, yes, unknown, unknown, -
Breakfast Brunch and Lunch, 1, yes, yes, unknown, no, -
Royal Mcgregor, 1, yes, unknown, unknown, unknown, -
