Name, Preference, Vegetarian, Vegan, Gluten Free, Low Carb, Comments
Loudons, 1, yes, unknown, unknown, no, Breakfast options also available at lunch time
56 North, 1, yes, unknown, unknown, no, -
OX184, 1, yes, unknown, unknown, no, -
Kcal Kitchen, 0.5, yes, yes, yes, yes, In Leith
Urban Angel, 1, yes, yes, yes, yes, -
The City Cafe, 1, yes, yes, yes, unknown, -
The Little Bakery, 0.5, yes, unknown, unknown, unknown, Queensferry
Down The Hatch, 0.5, yes, no, no, no, Queensferry
Kilimanjaro Cafe, 1, yes, unknown, unkown, unknown, -
The Edinburgh Larder, 1, yes, yes, unknown, unknown, -
Weatherspoons Pubs, 0.5, yes, yes, yes, no, Spoons!
Roseleaf bar cafe, 1, yes, yes, unknown, unknown, -
Henderson's, 1, yes, yes, unknown, unknown, -
Harmonium, 1, yes, yes, unknown, unknown, -
