Name, Preference, Vegetarian, Vegan, Gluten Free, Low Carb, Comments
Boteco Do Brasil, 1, unknown, unknown, unknown, unknown, -
Mother India's Cafe, 1, yes, unknown, unknown, unknown, -
Red Box Noodle Bar, 1, yes, unknown, unknown, unknown, -
Taquito, 0, yes, no, unknown, unknown, -
Thailander, 1, yes, unknown, unknown, unknown, -
Civerinos, 1, yes, yes, unknown, unknown, -
Library Bar, 1, yes, yes, unknown, unknown, -
Bonsai Bar Bistro, 0.5, yes, unknown, unknown, unknown, -
Kismot, 0.25, yes, unknown, unknown, unknown, -
Ola Kala, 0.25, yes, unknown, unknown, unknown, -
Nile Valley Cafe, 0.5, yes, yes, unknown, unknown, -
Kim's Mini Meals, 0, no, no, no, no, Hard to get in
Pizza Posto, 0.5, yes, yes, unknown, unknown, -
Noodle'n'rice, 0.1, unknown, unknown, unknown, unknown, -
German Döner Kebab, 0.1, no, no, unknown, no, -
Paradise Palms, 1, yes, yes, unknown, unknown, -
Noodles and Dumplings, 0.5, yes, unknown, unknown, unknown, -
Bonnie Burito, 1, yes, yes, unknown, unknown, -
Sister Bao House, 0.5, yes, yes, unknown, unknown, -
Henderson's, 0.25, yes, yes, unknown, unknown, -
Fazenda, 0.2, no, no, no, no, -
Verdo, 0.2, no, no, no, no, - 
Three Birds, 0.2, yes, yes, yes, yes, -
