Name, Preference, Vegetarian, Vegan, Gluten Free, Low Carb, Comments
Library Bar, 1, yes, yes, yes, unknown, -
Greenmantel, 1, unknown, unknown, unknown, unknown, -
The Royal Dick Bar, 1, unknown, unknown, unknown, unknown, -
Hanging Bat, 1, unknown, unknown, unknown, unknown, -
The Dadga Bar, 1, N/A, N/A, N/A, N/A, Does not serve food
The Safari Lounge, 0.25, yes, unknown, unknown, unknown, -
The Regent, 0.25, yes, unknown, unknown, unknown, -
The Bier Hoose, 0.25, N/A, N/A, N/A, N/A, Does not serve food
Soul Nation, 1, unknown, unknown, unknown, unknown, -
The Argyle and Cellar Bar, 0.1, N/A, N/A, N/A, N/A, Does not serve food
The Mash Tun Bier House & Kitchen, 0.1, yes, unknown, unknown, unknown, No mobile network bad WiFi
Sofi's Southside, 1, N/A, N/A, N/A, N/A, Does not serve food
Pilgrim, 1, unknown, unknown, unknown, unknown, Has music in the night
Mousetrap, 1, unknown, unknown, unknown, unknown, Has board games
OX184, 1, unknown, unknown, unknown, unknown, Has food & graft beers
The Auld Hoose, 2, yes, yes, unknown, unknown, Rock - extremly good natchos
Teuchters Landing, 0.25, unknown, unknown, unknown, unknown, in Leith
The Earl of Marchmont, 0.25, N/A, N/A, N/A, N/A, does not serve food
